Time (s),Amplitude (Radians)
0.000,0.917
0.025,5.561
0.050,9.917
0.075,13.758
0.100,17.025
0.125,19.548
0.150,21.153
0.175,21.783
0.200,21.497
0.225,20.178
0.250,18.000
0.275,15.019
0.300,11.350
0.325,7.108
0.350,2.637
0.375,-2.064
0.400,-6.650
0.425,-10.892
0.450,-14.790
0.475,-17.943
0.500,-20.236
0.525,-21.726
0.550,-22.242
0.575,-21.783
0.600,-20.350
0.625,-18.115
0.650,-14.962
0.675,-11.236
0.700,-7.051
0.725,-2.408
0.750,2.178
0.775,6.650
0.800,10.892
0.825,14.561
0.850,17.656
0.875,19.892
0.900,21.153
0.925,21.611
0.950,20.981
0.975,19.433
1.000,17.083
1.025,13.873
1.050,10.089
1.075,5.847
1.100,1.261
1.125,-3.325
1.150,-7.854
1.175,-11.866
1.200,-15.478
1.225,-18.459
1.250,-20.522
1.275,-21.783
1.300,-21.955
1.325,-21.325
1.350,-19.605
1.375,-17.083
1.400,-13.873
1.425,-9.975
1.450,-5.790
1.475,-1.146
1.500,3.439
1.525,7.854
1.550,11.866
1.575,15.420
1.600,18.172
1.625,20.178
1.650,21.153
1.675,21.325
1.700,20.465
1.725,18.745
1.750,16.108
1.775,12.783
1.800,8.828
1.825,4.529
1.850,0.000
1.875,-4.586
1.900,-8.943
1.925,-12.898
1.950,-16.280
1.975,-18.917
2.000,-20.809
2.025,-21.726
2.050,-21.726
2.075,-20.694
2.100,-18.803
2.125,-16.108
2.150,-12.669
2.175,-8.713
2.200,-4.414
2.225,0.115
2.250,4.586
2.275,8.943
2.300,12.783
2.325,16.051
2.350,18.631
2.375,20.350
2.400,21.153
2.425,20.981
2.450,19.892
2.475,17.943
2.500,15.134
2.525,11.637
2.550,7.567
2.575,3.268
2.600,-1.261
2.625,-5.790
2.650,-9.975
2.675,-13.758
2.700,-16.911
2.725,-19.376
2.750,-20.981
2.775,-21.611
2.800,-21.325
2.825,-20.064
2.850,-18.000
2.875,-15.134
2.900,-11.522
2.925,-7.452
2.950,-3.038
2.975,1.433
3.000,5.847
3.025,9.975
3.050,13.701
3.075,16.739
3.100,18.975
3.125,20.465
3.150,20.981
3.175,20.522
3.200,19.204
3.225,17.025
3.250,14.045
3.275,10.433
3.300,6.306
3.325,1.892
3.350,-2.637
3.375,-6.936
3.400,-11.006
3.425,-14.561
3.450,-17.541
3.475,-19.720
3.500,-21.096
3.525,-21.439
3.550,-20.866
3.575,-19.376
3.600,-17.083
3.625,-14.045
3.650,-10.376
3.675,-6.191
3.700,-1.777
3.725,2.694
3.750,7.051
3.775,11.006
3.800,14.503
3.825,17.312
3.850,19.376
3.875,20.522
3.900,20.809
3.925,20.064
3.950,18.459
3.975,16.051
4.000,12.898
4.025,9.172
4.050,4.930
4.075,0.631
4.100,-3.898
4.125,-8.083
4.150,-12.038
4.175,-15.420
4.200,-18.115
4.225,-20.006
4.250,-21.096
4.275,-21.153
4.300,-20.350
4.325,-18.631
4.350,-16.108
4.375,-12.898
4.400,-9.115
4.425,-4.873
4.450,-0.459
4.475,3.955
4.500,8.083
4.525,11.981
4.550,15.191
4.575,17.828
4.600,19.605
4.625,20.522
4.650,20.465
4.675,19.548
4.700,17.656
4.725,15.019
4.750,11.694
4.775,7.911
4.800,3.669
4.825,-0.745
4.850,-5.045
4.875,-9.287
4.900,-12.955
4.925,-16.108
4.950,-18.631
4.975,-20.236
5.000,-20.981
5.025,-20.809
5.050,-19.720
5.075,-17.828
5.100,-15.019
5.125,-11.694
5.150,-7.739
5.175,-3.497
5.200,0.803
5.225,5.159
5.250,9.287
5.275,12.898
5.300,15.936
5.325,18.287
5.350,19.834
5.375,20.350
5.400,20.064
5.425,18.917
5.450,16.854
5.475,13.930
5.500,10.548
5.525,6.592
5.550,2.350
5.575,-2.006
5.600,-6.306
5.625,-10.376
5.650,-13.873
5.675,-16.854
5.700,-18.975
5.725,-20.350
5.750,-20.809
5.775,-20.465
5.800,-19.089
5.825,-16.911
5.850,-13.930
5.875,-10.433
5.900,-6.478
5.925,-2.178
5.950,2.178
5.975,6.420
6.000,10.261
6.025,13.758
6.050,16.567
6.075,18.631
6.100,19.892
6.125,20.178
6.150,19.605
6.175,18.172
6.200,15.822
6.225,12.898
6.250,9.287
6.275,5.217
6.300,0.975
6.325,-3.325
6.350,-7.452
6.375,-11.350
6.400,-14.675
6.425,-17.369
6.450,-19.376
6.475,-20.465
6.500,-20.637
6.525,-19.892
6.550,-18.287
6.575,-15.936
6.600,-12.783
6.625,-9.172
6.650,-5.159
6.675,-0.917
6.700,3.439
6.725,7.567
6.750,11.350
6.775,14.561
6.800,17.083
6.825,18.917
6.850,19.892
6.875,19.892
6.900,19.089
6.925,17.369
6.950,14.847
6.975,11.694
7.000,8.025
7.025,3.955
7.050,-0.344
7.075,-4.586
7.100,-8.656
7.125,-12.325
7.150,-15.478
7.175,-17.943
7.200,-19.605
7.225,-20.350
7.250,-20.350
7.275,-19.376
7.300,-17.484
7.325,-14.847
7.350,-11.637
7.375,-7.911
7.400,-3.783
7.425,0.459
7.450,4.701
7.475,8.713
7.500,12.268
7.525,15.306
7.550,17.656
7.575,19.204
7.600,19.834
7.625,19.605
7.650,18.459
7.675,16.567
7.700,13.873
7.725,10.548
7.750,6.650
7.775,2.637
7.800,-1.720
7.825,-5.847
7.850,-9.803
7.875,-13.242
7.900,-16.223
7.925,-18.344
7.950,-19.720
7.975,-20.236
8.000,-19.892
8.025,-18.631
8.050,-16.567
8.075,-13.758
8.100,-10.433
8.125,-6.592
8.150,-2.408
8.175,1.777
8.200,5.962
8.225,9.803
8.250,13.127
8.275,15.936
8.300,18.000
8.325,19.261
8.350,19.605
8.375,19.204
8.400,17.713
8.425,15.592
8.450,12.669
8.475,9.287
8.500,5.331
8.525,1.146
8.550,-2.981
8.575,-7.108
8.600,-10.892
8.625,-14.159
8.650,-16.854
8.675,-18.745
8.700,-19.834
8.725,-20.064
8.750,-19.433
8.775,-17.943
8.800,-15.650
8.825,-12.669
8.850,-9.115
8.875,-5.217
8.900,-1.089
8.925,3.153
8.950,7.108
8.975,10.777
9.000,14.045
9.025,16.567
9.050,18.344
9.075,19.376
9.100,19.433
9.125,18.631
9.150,17.025
9.175,14.561
9.200,11.522
9.225,7.911
9.250,3.955
9.275,-0.172
9.300,-4.299
9.325,-8.312
9.350,-11.866
9.375,-14.962
9.400,-17.369
9.425,-18.975
9.450,-19.834
9.475,-19.834
9.500,-18.917
9.525,-17.083
9.550,-14.561
9.575,-11.408
9.600,-7.854
9.625,-3.898
9.650,0.287
9.675,4.414
9.700,8.312
9.725,11.809
9.750,14.790
9.775,17.083
9.800,18.631
9.825,19.261
9.850,19.089
9.875,18.000
9.900,16.108
9.925,13.586
9.950,10.376
9.975,6.650
10.000,2.637
10.025,-1.548
10.050,-5.561
10.075,-9.344
10.100,-12.783
10.125,-15.650
10.150,-17.828
10.175,-19.204
10.200,-19.720
10.225,-19.433
10.250,-18.172
10.275,-16.223
10.300,-13.529
10.325,-10.261
10.350,-6.478
10.375,-2.522
10.400,1.605
10.425,5.675
10.450,9.459
10.475,12.783
10.500,15.478
10.525,17.484
10.550,18.745
10.575,19.089
