amplitude (rad),period (T/T0)
0.000,1.
0.005,1.000001562502238
0.010,1.0000062500358076
0.015,1.000014062681277
0.020,1.0000250005729319
0.025,1.0000390638987797
0.030,1.0000562529005617
0.035,1.000076567873763
0.040,1.000100009167628
0.045,1.0001265771851762
0.050,1.0001562723832242
0.055,1.0001890952724064
0.060,1.0002250464172007
0.065,1.000264126435956
0.070,1.0003063360009232
0.075,1.0003516758382882
0.080,1.0004001467282069
0.085,1.0004517495048446
0.090,1.000506485056416
0.095,1.0005643543252303
0.100,1.0006253583077367
0.105,1.0006894980545733
0.110,1.0007567746706199
0.115,1.0008271893150518
0.120,1.000900743201397
0.125,1.000977437597597
0.130,1.0010572738260677
0.135,1.0011402532637665
0.140,1.0012263773422596
0.145,1.0013156475477927
0.150,1.0014080654213644
0.155,1.0015036325588036
0.160,1.0016023506108473
0.165,1.001704221283223
0.170,1.001809246336733
0.175,1.001917427587342
0.180,1.0020287669062675
0.185,1.002143266220072
0.190,1.00226092751076
0.195,1.0023817528158747
0.200,1.0025057442286018
0.205,1.002632903897872
0.210,1.002763234028469
0.215,1.002896736881138
0.220,1.003033414772701
0.225,1.003173270076171
0.230,1.0033163052208707
0.235,1.003462522692554
0.240,1.0036119250335316
0.245,1.0037645148427965
0.250,1.0039202947761563
0.255,1.0040792675463657
0.260,1.0042414359232619
0.265,1.004406802733906
0.270,1.004575370862723
0.275,1.0047471432516495
0.280,1.00492212290028
0.285,1.0051003128660196
0.290,1.0052817162642385
0.295,1.0054663362684282
0.300,1.0056541761103646
0.305,1.0058452390802697
0.310,1.0060395285269794
0.315,1.0062370478581142
0.320,1.0064378005402517
0.325,1.006641790099103
0.330,1.0068490201196931
0.335,1.0070594942465438
0.340,1.0072732161838596
0.345,1.0074901896957167
0.350,1.007710418606257
0.355,1.0079339067998838
0.360,1.0081606582214604
0.365,1.0083906768765136
0.370,1.00862396683144
0.375,1.0088605322137163
0.380,1.0091003772121097
0.385,1.0093435060768978
0.390,1.0095899231200856
0.395,1.0098396327156314
0.400,1.0100926392996719
0.405,1.0103489473707536
0.410,1.0106085614900675
0.415,1.010871486281685
0.420,1.0111377264328012
0.425,1.0114072866939787
0.430,1.0116801718793973
0.435,1.0119563868671047
0.440,1.0122359365992748
0.445,1.0125188260824654
0.450,1.0128050603878846
0.455,1.0130946446516558
0.460,1.01338758407509
0.465,1.0136838839249618
0.470,1.0139835495337877
0.475,1.0142865863001098
0.480,1.0145929996887828
0.485,1.0149027952312648
0.490,1.0152159785259134
0.495,1.0155325552382852
0.500,1.0158525311014368
0.505,1.016175911916236
0.510,1.0165027035516712
0.515,1.0168329119451678
0.520,1.0171665431029098
0.525,1.017503603100162
0.530,1.0178440980816021
0.535,1.018188034261651
0.540,1.0185354179248123
0.545,1.018886255426015
0.550,1.019240553190958
0.555,1.019598317716464
0.560,1.0199595555708336
0.565,1.0203242733942062
0.570,1.020692477898926
0.575,1.0210641758699106
0.580,1.0214393741650265
0.585,1.0218180797154688
0.590,1.0222002995261443
0.595,1.022586040676062
0.600,1.0229753103187267
0.605,1.023368115682538
0.610,1.0237644640711954
0.615,1.0241643628641055
0.620,1.0245678195167995
0.625,1.0249748415613502
0.630,1.0253854366067985
0.635,1.0257996123395827
0.640,1.0262173765239742
0.645,1.0266387370025187
0.650,1.0270637016964832
0.655,1.0274922786063068
0.660,1.0279244758120583
0.665,1.028360301473901
0.670,1.0287997638325594
0.675,1.029242871209795
0.680,1.0296896320088869
0.685,1.0301400547151176
0.690,1.0305941478962652
0.695,1.0310519202031023
0.700,1.0315133803699001
0.705,1.0319785372149382
0.710,1.0324473996410217
0.715,1.0329199766360049
0.720,1.0333962772733196
0.725,1.0338763107125113
0.730,1.0343600861997806
0.735,1.0348476130685336
0.740,1.0353389007399347
0.745,1.0358339587234717
0.750,1.0363327966175222
0.755,1.0368354241099298
0.760,1.0373418509785874
0.765,1.0378520870920267
0.770,1.038366142410014
0.775,1.038884026984155
0.780,1.0394057509585055
0.785,1.0399313245701896
0.790,1.040460758150026
0.795,1.0409940621231617
0.800,1.041531247009712
0.805,1.0420723234254088
0.810,1.0426173020822596
0.815,1.0431661937892083
0.820,1.04371900945281
0.825,1.0442757600779105
0.830,1.044836456768334
0.835,1.0454011107275805
0.840,1.045969733259532
0.845,1.0465423357691626
0.850,1.0471189297632646
0.855,1.047699526851176
0.860,1.0482841387455215
0.865,1.0488727772629611
0.870,1.0494654543249462
0.875,1.0500621819584859
0.880,1.0506629722969243
0.885,1.051267837580724
0.890,1.0518767901582604
0.895,1.0524898424866262
0.900,1.0531070071324444
0.905,1.0537282967726918
0.910,1.0543537241955325
0.915,1.0549833023011606
0.920,1.055617044102654
0.925,1.0562549627268392
0.930,1.0568970714151624
0.935,1.0575433835245782
0.940,1.0581939125284416
0.945,1.058848672017417
0.950,1.0595076757003934
0.955,1.0601709374054136
0.960,1.0608384710806138
0.965,1.061510290795176
0.970,1.062186410740287
0.975,1.0628668452301169
0.980,1.0635516087028025
0.985,1.0642407157214477
0.990,1.0649341809751314
0.995,1.065632019279932
1.000,1.0663342455799631
1.005,1.06704087494842
1.010,1.0677519225886418
1.015,1.0684674038351847
1.020,1.0691873341549087
1.025,1.0699117291480793
1.030,1.0706406045494812
1.035,1.0713739762295442
1.040,1.0721118601954884
1.045,1.072854272592477
1.050,1.0736012297047883
1.055,1.074352747957
1.060,1.0751088439151886
1.065,1.0758695342881437
1.070,1.076634835928598
1.075,1.077404765834472
1.080,1.078179341150135
1.085,1.0789585791676803
1.090,1.0797424973282188
1.095,1.0805311132231867
1.100,1.0813244445956713
1.105,1.0821225093417524
1.110,1.0829253255118607
1.115,1.0837329113121543
1.120,1.084545285105912
1.125,1.0853624654149443
1.130,1.0861844709210227
1.135,1.0870113204673257
1.140,1.0878430330599065
1.145,1.088679627869176
1.150,1.0895211242314067
1.155,1.090367541650256
1.160,1.0912188997983077
1.165,1.0920752185186349
1.170,1.0929365178263826
1.175,1.0938028179103703
1.180,1.094674139134715
